Institution,Alt Course,RPI Course
ADIRONDACK COMMUNITY COLLEGE,PSY 101 GENERAL PSYCHOLOGY (3.000),PSYC 1200 INTRODUCTION TO PSYCHOLOGICAL SCIENCE (4)
ADIRONDACK COMMUNITY COLLEGE,SPA 101 ELEMENTARY SPANISH I (3.000),LANG 1000 FOREIGN LANGUAGES ELECTIVE ()
ADIRONDACK COMMUNITY COLLEGE,SPA 201 INTERMEDIATE SPANISH I (3.000),LANG 2000 FOREIGN LANGUAGES ELECTIVE ()
ADIRONDACK COMMUNITY COLLEGE,SPA 202 INTERMEDIATE SPANISH II (3.000),LANG 2000 FOREIGN LANGUAGES ELECTIVE ()
ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES - RPI ADDED,BIO 105 MICROBES & ME (3),BIOL 1000 BIOLOGY ELECTIVE ()
ALBANY STATE UNIVERSITY,ENGL 1101 ENGLISH COMPOSITION I (3),WRIT 1000 WRITING ELECTIVE ()
ALFRED UNIVERSITY,ECON 201 PRINCIPLES OF MICROECONOMICS (4),ECON 1000 ECONOMICS ELECTIVE ()
ALFRED UNIVERSITY,ENGR 102 COMPUTER AIDED DESIGN (2),ENGR 1200 ENGINEERING GRAPHICS AND CAD (1)
ALFRED UNIVERSITY,MATH 151 CALCULUS I (4),MATH 1010 CALCULUS I (4)
ALFRED UNIVERSITY,MATH 271 DIFFERENTIAL EQUATIONS (3),MATH 2400 INTRODUCTION TO DIFFERENTIAL EQUATIONS (4)
ALFRED UNIVERSITY,MECH 211 STATICS (3),ENGR 1100 INTRODUCTION TO ENGINEERING ANALYSIS (4)
ALFRED UNIVERSITY,MECH 212 DYNAMICS (3),ENGR 2090 ENGINEERING DYNAMICS (4)
ALFRED UNIVERSITY,MECH 324 FLUID MECHANICS I (3),MANE 2710 THERMODYNAMICS (3)
AMERICAN RIVER COLLEGE,ENGWR 300 COLLEGE COMPOSITION (3),WRIT 2000 WRITING ELECTIVE ()
AMERICAN RIVER COLLEGE,MATH 400 CALCULUS I (5),MATH 1010 CALCULUS I (4)
ANNE ARUNDEL COMMUNITY COLLEGE,AMS 100 INTRODUCTION TO AMERICAN STUDIES (3),STSO 1000 SCIENCE AND TECHNOLOGY STUDIES ELECTIVE ()
ANNE ARUNDEL COMMUNITY COLLEGE,ART 154 3D COMPUTER GRAPHICS (3),ARTS 2230 3D DIGITAL MODELING (4)
ANNE ARUNDEL COMMUNITY COLLEGE,BIO 100 INTRODUCTION TO BIOLOGY (4),BIOL 1000 BIOLOGY ELECTIVE ()
ANNE ARUNDEL COMMUNITY COLLEGE,BIO 107 ENVIRONMENTAL SCIENCE (4),ERTH 1000 EARTH AND ENVIRONMENTAL SCIENCE ELECTIVE ()
ANNE ARUNDEL COMMUNITY COLLEGE,CHE 111 GENERAL CHEMISTRY 1 (4),CHEM 1100 CHEMISTRY I (4)
ANNE ARUNDEL COMMUNITY COLLEGE,COM 111 FUNDAMENTALS OF ORAL COMMUNICATION (3),WRIT 2340 SPEECH COMMUNICATION (4)
ANNE ARUNDEL COMMUNITY COLLEGE,ENG 101 ACADEMIC WRITING AND RESEARCH 1 (3),WRIT 1000 WRITING ELECTIVE ()
ANNE ARUNDEL COMMUNITY COLLEGE,HEA 111 PERSONAL AND COMMUNITY HEALTH (3),IHSS 1000 INTERDISCIPLINARY STUDIES ELECTIVE ()
ANNE ARUNDEL COMMUNITY COLLEGE,HIS 212 UNITED STATES HISTORY SINCE THE CIVIL WAR (3),STSO 2000 SCIENCE AND TECHNOLOGY STUDIES ELECTIVE ()
ANNE ARUNDEL COMMUNITY COLLEGE,MUS 101 MUSIC FUNDAMENTALS (3),ARTS 1380 FUNDAMENTALS OF MUSIC AND SOUND (4)
ARCADIA UNIVERSITY,MA 141 ELEMENTARY STATISTICS,MGMT 2100 STATISTICAL METHODS (4)
ARIZONA STATE UNIVERSITY - COCHISE,FSE 100 INTRODUCTION TO ENGINEERING (2),ENGR 1000 ENGINEERING ELECTIVE ()
ARIZONA STATE UNIVERSITY - LAKE HAVASU,FSE 100 INTRODUCTION TO ENGINEERING (2),ENGR 1000 ENGINEERING ELECTIVE ()
ARIZONA STATE UNIVERSITY - MESA CITY CENTER,FSE 100 INTRODUCTION TO ENGINEERING (2),ENGR 1000 ENGINEERING ELECTIVE ()
ARIZONA STATE UNIVERSITY - PIMA,FSE 100 INTRODUCTION TO ENGINEERING (2),ENGR 1000 ENGINEERING ELECTIVE ()
ARIZONA STATE UNIVERSITY - PINAL,FSE 100 INTRODUCTION TO ENGINEERING (2),ENGR 1000 ENGINEERING ELECTIVE ()
ARIZONA STATE UNIVERSITY - THE GILA VALLEY,FSE 100 INTRODUCTION TO ENGINEERING (2),ENGR 1000 ENGINEERING ELECTIVE ()
ARIZONA STATE UNIVERSITY - YAVAPAI,FSE 100 INTRODUCTION TO ENGINEERING (2),ENGR 1000 ENGINEERING ELECTIVE ()
ARIZONA STATE UNIVERSITY - YUMA,FSE 100 INTRODUCTION TO ENGINEERING (2),ENGR 1000 ENGINEERING ELECTIVE ()
ARIZONA STATE UNIVERSITY-DOWNTOWN PHOENIX,FSE 100 INTRODUCTION TO ENGINEERING (2),ENGR 1000 ENGINEERING ELECTIVE ()
ARIZONA STATE UNIVERSITY-POLYTECHNIC,FSE 100 INTRODUCTION TO ENGINEERING (2),ENGR 1000 ENGINEERING ELECTIVE ()
ARIZONA STATE UNIVERSITY-SKYSONG,FSE 100 INTRODUCTION TO ENGINEERING (2),ENGR 1000 ENGINEERING ELECTIVE ()
ARIZONA STATE UNIVERSITY-TEMPE,FSE 100 INTRODUCTION TO ENGINEERING (2),ENGR 1000 ENGINEERING ELECTIVE ()
ARIZONA STATE UNIVERSITY-WEST,FSE 100 INTRODUCTION TO ENGINEERING (2),ENGR 1000 ENGINEERING ELECTIVE ()
ASHEVILLE-BUNCOMBE TECHNICAL COMMUNITY COLLEGE,BUS-110 INTRODUCTION TO BUSINESS (3),MGMT 1100 MANAGEMENT IN THE DIGITAL AGE (4)
ASSUMPTION UNIVERSITY,ART 101 DRAWING I (3),ARTS 1200 BASIC DRAWING (4)
ASSUMPTION UNIVERSITY,ECO 110 PRINCIPLES OF MICROECONOMICS (3),ECON 1000 ECONOMICS ELECTIVE ()
ASSUMPTION UNIVERSITY,ENG 130 ENGLISH COMPOSITION (3),WRIT 1000 WRITING ELECTIVE ()
ASSUMPTION UNIVERSITY,HIS 180 UNITED STATES TO 1877 (3),STSO 1000 SCIENCE AND TECHNOLOGY STUDIES ELECTIVE ()
ASSUMPTION UNIVERSITY,PHI 100 SOCRATES AND THE SEARCH FOR TRUTH (3),PHIL 1000 PHILOSOPHY ELECTIVE ()
ASSUMPTION UNIVERSITY,PHI 154 GOD AND THE PHILOSOPHERS (3),PHIL 1000 PHILOSOPHY ELECTIVE ()
ASSUMPTION UNIVERSITY,SPA 201 SPANISH III (3),LANG 2000 FOREIGN LANGUAGES ELECTIVE ()
ATHABASCA UNIVERSITY - RPI ADDED,ACCT 250 ACCOUNTING FOR MANAGERS (3),MGMT 2000 MANAGEMENT ELECTIVE ()
ATHABASCA UNIVERSITY - RPI ADDED,CMIS 245 MICROCOMPUTER APPLICATIONS IN BUSINESS (3),MGMT 2000 MANAGEMENT ELECTIVE ()
ATHABASCA UNIVERSITY - RPI ADDED,ECOM 320 OVERVIEW OF E-COMMERCE (3),MGMT 4000 MANAGEMENT ELECTIVE ()
ATHABASCA UNIVERSITY - RPI ADDED,ECON 247 MICROECONOMICS (3),ECON 1000 ECONOMICS ELECTIVE ()
ATHABASCA UNIVERSITY - RPI ADDED,ENGL 255 INTRODUCTORY COMPOSITION (3),WRIT 1000 WRITING ELECTIVE ()
ATHABASCA UNIVERSITY - RPI ADDED,ENTP 212 ENTREPRENEURSHIP (3),MGMT 4530 STARTING UP A NEW VENTURE (4)
ATHABASCA UNIVERSITY - RPI ADDED,FNCE 249 PERSONAL INVESTING (3),MGMT 2220 THE WEALTH COMPASS (4)
ATHABASCA UNIVERSITY - RPI ADDED,FREN 100 FRENCH FOR BEGINNERS I (3),LANG 1000 FOREIGN LANGUAGES ELECTIVE ()
ATHABASCA UNIVERSITY - RPI ADDED,MATH 265 INTRODUCTION TO CALCULUS I (3),MATH 1010 CALCULUS I (4)
ATHABASCA UNIVERSITY - RPI ADDED,MKTG 396 INTRODUCTION TO MARKETING (3),MGMT 2430 MARKETING PRINCIPLES (4)
AUGUSTANA UNIVERSITY,PHYS 100PL INTRODUCTION AND PRINCIPLES OF ENGINEERING (4),ENGR 1000 ENGINEERING ELECTIVE ()
AUGUSTANA UNIVERSITY,PHYS 101PL SPECIALIZED ENGINEERING (4),ENGR 1000 ENGINEERING ELECTIVE ()
AUGUSTANA UNIVERSITY,"PHYS 102PL ENGINEERING, DESIGN AND DEVELOPMENT (4)",ENGR 1000 ENGINEERING ELECTIVE ()
AUSTIN COMMUNITY COLLEGE,BIOL 1406 CELLULAR AND MOLECULAR BIOLOGY (4),"BIOL 2120 INTRODUCTION TO CELL AND MOLECULAR BIOLOGY (3)
BIOL 2125 INTRODUCTION TO CELL AND MOLECULAR BIOLOGY LABORATORY (1)"
AUSTIN COMMUNITY COLLEGE,"CHEM 1109 GENERAL CHEMISTRY FOR ENGINEERING MAJORS - LAB (1)
CHEM 1309 GENERAL CHEMISTRY FOR ENGINEERING MAJORS - LECTURE (3)",CHEM 1100 PRINCIPLES OF CHEMISTRY I (4)
AUSTIN COMMUNITY COLLEGE,"CHEM 1112 GENERAL CHEMISTRY II - LAB (1)
CHEM 1312 GENERAL CHEMISTRY II - LECTURE (3)",CHEM 1200 CHEMISTRY II (4)
AUSTIN COMMUNITY COLLEGE,"CHEM 2123 ORGANIC CHEMISTRY I - LAB (1)
CHEM 2323 ORGANIC CHEMISTRY I - LECTURE (3)","CHEM 2230 ORGANIC CHEMISTRY LABORATORY I (1)
CHEM 2250 ORGANIC CHEMISTRY I (3)"
AUSTIN COMMUNITY COLLEGE,"CHEM 2125 ORGANIC CHEMISTRY II - LAB (1)
CHEM 2325 ORGANIC CHEMISTRY II - LECTURE (3)","CHEM 2240 ORGANIC CHEMISTRY LABORATORY II (1)
CHEM 2260 ORGANIC CHEMISTRY II (3)"
AUSTIN COMMUNITY COLLEGE,MATH 2413 CALCULUS I (4),MATH 1010 CALCULUS I (4)
AUSTIN COMMUNITY COLLEGE,"MATH 2414 CALCULUS II (4)
MATH 2415 CALCULUS III (4)","MATH 1020 CALCULUS II (4)
MATH 2011 MULTIVARIABLE CALCULUS (2)"
AUSTIN COMMUNITY COLLEGE,PHYS 2425 ENGINEERING PHYSICS I (4),PHYS 1100 PHYSICS I (4)
AUSTIN COMMUNITY COLLEGE,PHYS 2426 ENGINEERING PHYSICS II (4),PHYS 1200 PHYSICS II (4)
BARD - BHSEC QUEENS - RPI ADDED,"CHEM 101 GENERAL CHEMISTRY I W/LAB (4)
CHEM 102 GENERAL CHEMISTRY II W/LAB (4)","CHEM 1100 CHEMISTRY I (4)
CHEM 1200 CHEMISTRY II (4)"
BARD COLLEGE,ART HISTORY 113 HISTORY OF PHOTOGRAPHY (4),ARTS 1000 ARTS ELECTIVE ()
BARD COLLEGE,CHEMISTRY 201 ORGANIC CHEMISTRY (4),"CHEM 2230 ORGANIC CHEMISTRY LABORATORY I (1)
CHEM 2250 ORGANIC CHEMISTRY I (3)"
BARD COLLEGE,CHEMISTRY 202 ORGANIC CHEMISTRY (4),"CHEM 2240 ORGANIC CHEMISTRY LABORATORY II (1)
CHEM 2260 ORGANIC CHEMISTRY II (3)"
BARD COLLEGE,Economics 100 PRINCIPLES OF ECONOMICS (4),ECON 1200 INTRODUCTORY ECONOMICS (4)
BARD COLLEGE,ENVIRONMENTAL STUDIES 305 SOCIAL ENTREPRENEURSHIP PRACTICUM (4),STSO 1000 SCIENCE AND TECHNOLOGY STUDIES ELECTIVE ()
BARD COLLEGE,MATHEMATICS 141 CALCULUS I (4),MATH 1010 CALCULUS I (4)
BARD COLLEGE,MATHEMATICS 142 CALCULUS II (4),NT NOT TRANSFERABLE
BARD COLLEGE - ALBION CORRECTIONAL FACILITY,ART HISTORY 113 HISTORY OF PHOTOGRAPHY (4),ARTS 1000 ARTS ELECTIVE ()
BARD COLLEGE - ALBION CORRECTIONAL FACILITY,CHEMISTRY 201 ORGANIC CHEMISTRY (4),"CHEM 2230 ORGANIC CHEMISTRY LABORATORY I (1)
CHEM 2250 ORGANIC CHEMISTRY I (3)"
BARD COLLEGE - ALBION CORRECTIONAL FACILITY,CHEMISTRY 202 ORGANIC CHEMISTRY (4),"CHEM 2240 ORGANIC CHEMISTRY LABORATORY II (1)
CHEM 2260 ORGANIC CHEMISTRY II (3)"
BARD COLLEGE - ALBION CORRECTIONAL FACILITY,Economics 100 PRINCIPLES OF ECONOMICS (4),ECON 1200 INTRODUCTORY ECONOMICS (4)
BARD COLLEGE - ALBION CORRECTIONAL FACILITY,ENVIRONMENTAL STUDIES 305 SOCIAL ENTREPRENEURSHIP PRACTICUM (4),STSO 1000 SCIENCE AND TECHNOLOGY STUDIES ELECTIVE ()
BARD COLLEGE - ALBION CORRECTIONAL FACILITY,MATHEMATICS 141 CALCULUS I (4),MATH 1010 CALCULUS I (4)
BARD COLLEGE - ALBION CORRECTIONAL FACILITY,MATHEMATICS 142 CALCULUS II (4),NT NOT TRANSFERABLE
BARD COLLEGE - BARD GLOBALIZATION AND INTERNATIONAL AFFAIRS PROGRAM,ART HISTORY 113 HISTORY OF PHOTOGRAPHY (4),ARTS 1000 ARTS ELECTIVE ()
BARD COLLEGE - BARD GLOBALIZATION AND INTERNATIONAL AFFAIRS PROGRAM,CHEMISTRY 201 ORGANIC CHEMISTRY (4),"CHEM 2230 ORGANIC CHEMISTRY LABORATORY I (1)
CHEM 2250 ORGANIC CHEMISTRY I (3)"
BARD COLLEGE - BARD GLOBALIZATION AND INTERNATIONAL AFFAIRS PROGRAM,CHEMISTRY 202 ORGANIC CHEMISTRY (4),"CHEM 2240 ORGANIC CHEMISTRY LABORATORY II (1)
CHEM 2260 ORGANIC CHEMISTRY II (3)"
BARD COLLEGE - BARD GLOBALIZATION AND INTERNATIONAL AFFAIRS PROGRAM,Economics 100 PRINCIPLES OF ECONOMICS (4),ECON 1200 INTRODUCTORY ECONOMICS (4)
BARD COLLEGE - BARD GLOBALIZATION AND INTERNATIONAL AFFAIRS PROGRAM,ENVIRONMENTAL STUDIES 305 SOCIAL ENTREPRENEURSHIP PRACTICUM (4),STSO 1000 SCIENCE AND TECHNOLOGY STUDIES ELECTIVE ()
BARD COLLEGE - BARD GLOBALIZATION AND INTERNATIONAL AFFAIRS PROGRAM,MATHEMATICS 141 CALCULUS I (4),MATH 1010 CALCULUS I (4)
BARD COLLEGE - BARD GLOBALIZATION AND INTERNATIONAL AFFAIRS PROGRAM,MATHEMATICS 142 CALCULUS II (4),NT NOT TRANSFERABLE
BARD COLLEGE - BHSEC NEWARK,ART HISTORY 113 HISTORY OF PHOTOGRAPHY (4),ARTS 1000 ARTS ELECTIVE ()
BARD COLLEGE - BHSEC NEWARK,CHEMISTRY 201 ORGANIC CHEMISTRY (4),"CHEM 2230 ORGANIC CHEMISTRY LABORATORY I (1)
CHEM 2250 ORGANIC CHEMISTRY I (3)"
BARD COLLEGE - BHSEC NEWARK,CHEMISTRY 202 ORGANIC CHEMISTRY (4),"CHEM 2240 ORGANIC CHEMISTRY LABORATORY II (1)
CHEM 2260 ORGANIC CHEMISTRY II (3)"
BARD COLLEGE - BHSEC NEWARK,Economics 100 PRINCIPLES OF ECONOMICS (4),ECON 1200 INTRODUCTORY ECONOMICS (4)
BARD COLLEGE - BHSEC NEWARK,ENVIRONMENTAL STUDIES 305 SOCIAL ENTREPRENEURSHIP PRACTICUM (4),STSO 1000 SCIENCE AND TECHNOLOGY STUDIES ELECTIVE ()
BARD COLLEGE - BHSEC NEWARK,MATHEMATICS 141 CALCULUS I (4),MATH 1010 CALCULUS I (4)
BARD COLLEGE - BHSEC NEWARK,MATHEMATICS 142 CALCULUS II (4),NT NOT TRANSFERABLE
BARD COLLEGE - BROOKLYN PUBLIC LIBRARY,ART HISTORY 113 HISTORY OF PHOTOGRAPHY (4),ARTS 1000 ARTS ELECTIVE ()
BARD COLLEGE - BROOKLYN PUBLIC LIBRARY,CHEMISTRY 201 ORGANIC CHEMISTRY (4),"CHEM 2230 ORGANIC CHEMISTRY LABORATORY I (1)
CHEM 2250 ORGANIC CHEMISTRY I (3)"
BARD COLLEGE - BROOKLYN PUBLIC LIBRARY,CHEMISTRY 202 ORGANIC CHEMISTRY (4),"CHEM 2240 ORGANIC CHEMISTRY LABORATORY II (1)
CHEM 2260 ORGANIC CHEMISTRY II (3)"
BARD COLLEGE - BROOKLYN PUBLIC LIBRARY,Economics 100 PRINCIPLES OF ECONOMICS (4),ECON 1200 INTRODUCTORY ECONOMICS (4)
BARD COLLEGE - BROOKLYN PUBLIC LIBRARY,ENVIRONMENTAL STUDIES 305 SOCIAL ENTREPRENEURSHIP PRACTICUM (4),STSO 1000 SCIENCE AND TECHNOLOGY STUDIES ELECTIVE ()
BARD COLLEGE - BROOKLYN PUBLIC LIBRARY,MATHEMATICS 141 CALCULUS I (4),MATH 1010 CALCULUS I (4)
BARD COLLEGE - BROOKLYN PUBLIC LIBRARY,MATHEMATICS 142 CALCULUS II (4),NT NOT TRANSFERABLE
BARD COLLEGE - EASTERN NY CORRECTIONAL FACILITY,ART HISTORY 113 HISTORY OF PHOTOGRAPHY (4),ARTS 1000 ARTS ELECTIVE ()
BARD COLLEGE - EASTERN NY CORRECTIONAL FACILITY,CHEMISTRY 201 ORGANIC CHEMISTRY (4),"CHEM 2230 ORGANIC CHEMISTRY LABORATORY I (1)
CHEM 2250 ORGANIC CHEMISTRY I (3)"
BARD COLLEGE - EASTERN NY CORRECTIONAL FACILITY,CHEMISTRY 202 ORGANIC CHEMISTRY (4),"CHEM 2240 ORGANIC CHEMISTRY LABORATORY II (1)
CHEM 2260 ORGANIC CHEMISTRY II (3)"
BARD COLLEGE - EASTERN NY CORRECTIONAL FACILITY,Economics 100 PRINCIPLES OF ECONOMICS (4),ECON 1200 INTRODUCTORY ECONOMICS (4)
BARD COLLEGE - EASTERN NY CORRECTIONAL FACILITY,ENVIRONMENTAL STUDIES 305 SOCIAL ENTREPRENEURSHIP PRACTICUM (4),STSO 1000 SCIENCE AND TECHNOLOGY STUDIES ELECTIVE ()
BARD COLLEGE - EASTERN NY CORRECTIONAL FACILITY,MATHEMATICS 141 CALCULUS I (4),MATH 1010 CALCULUS I (4)
BARD COLLEGE - EASTERN NY CORRECTIONAL FACILITY,MATHEMATICS 142 CALCULUS II (4),NT NOT TRANSFERABLE
BARD COLLEGE - FISHKILL CORRECTIONAL FACILITY,ART HISTORY 113 HISTORY OF PHOTOGRAPHY (4),ARTS 1000 ARTS ELECTIVE ()
BARD COLLEGE - FISHKILL CORRECTIONAL FACILITY,CHEMISTRY 201 ORGANIC CHEMISTRY (4),"CHEM 2230 ORGANIC CHEMISTRY LABORATORY I (1)
CHEM 2250 ORGANIC CHEMISTRY I (3)"
BARD COLLEGE - FISHKILL CORRECTIONAL FACILITY,CHEMISTRY 202 ORGANIC CHEMISTRY (4),"CHEM 2240 ORGANIC CHEMISTRY LABORATORY II (1)
CHEM 2260 ORGANIC CHEMISTRY II (3)"
BARD COLLEGE - FISHKILL CORRECTIONAL FACILITY,Economics 100 PRINCIPLES OF ECONOMICS (4),ECON 1200 INTRODUCTORY ECONOMICS (4)
BARD COLLEGE - FISHKILL CORRECTIONAL FACILITY,ENVIRONMENTAL STUDIES 305 SOCIAL ENTREPRENEURSHIP PRACTICUM (4),STSO 1000 SCIENCE AND TECHNOLOGY STUDIES ELECTIVE ()
BARD COLLEGE - FISHKILL CORRECTIONAL FACILITY,MATHEMATICS 141 CALCULUS I (4),MATH 1010 CALCULUS I (4)
BARD COLLEGE - FISHKILL CORRECTIONAL FACILITY,MATHEMATICS 142 CALCULUS II (4),NT NOT TRANSFERABLE
BARD COLLEGE - GREEN HAVEN CORRECTIONAL FACILITY,ART HISTORY 113 HISTORY OF PHOTOGRAPHY (4),ARTS 1000 ARTS ELECTIVE ()
BARD COLLEGE - GREEN HAVEN CORRECTIONAL FACILITY,CHEMISTRY 201 ORGANIC CHEMISTRY (4),"CHEM 2230 ORGANIC CHEMISTRY LABORATORY I (1)
CHEM 2250 ORGANIC CHEMISTRY I (3)"
